product_id,product_name,category,sub_category,brand,cost_price,selling_price
PROD0001,JBL Cameras Signature,Electronics,Cameras,JBL,18533.99,21472.0
PROD0002,JBL Headphones Trendy,Electronics,Headphones,JBL,30045.64,36477.32
PROD0003,Xiaomi Camera Basic,Electronics,Cameras,Xiaomi,27828.0,33093.93
PROD0004,Xiaomi Power Bank Classic,Electronics,Power Banks,Xiaomi,23769.44,27955.06
PROD0005,OnePlus Tablets Neo,Electronics,Tablets,OnePlus,5050.09,5709.26
PROD0006,JBL Headphones Prime,Electronics,Headphones,JBL,17559.68,20311.27
PROD0007,Realme Smartwatches Advanced,Electronics,Smartwatches,Realme,3962.9,4425.78
PROD0008,HP Power Banks Ultra,Electronics,Power Banks,HP,13903.02,16914.19
PROD0009,OnePlus Laptops Trendy,Electronics,Laptops,OnePlus,16247.92,18812.57
PROD0010,Xiaomi Smartwatches Prime,Electronics,Smartwatches,Xiaomi,10432.2,12240.03
PROD0011,Sony Smartphones Advanced,Electronics,Smartphones,Sony,14069.38,15825.79
PROD0012,Sony Power Bank Comfort,Electronics,Power Banks,Sony,24212.62,26649.88
PROD0013,OnePlus Laptops Classic,Electronics,Laptops,OnePlus,2329.55,2623.74
PROD0014,OnePlus Camera Signature,Electronics,Cameras,OnePlus,3579.02,3983.32
PROD0015,Noise Smartphone Comfort,Electronics,Smartphones,Noise,16571.01,19824.07
PROD0016,boAt Tablets Compact,Electronics,Tablets,boAt,26598.09,30894.22
PROD0017,Noise Tablet Neo,Electronics,Tablets,Noise,14620.02,17716.69
PROD0018,OnePlus Laptops Signature,Electronics,Laptops,OnePlus,19071.65,21178.14
PROD0019,Dell Cameras Signature,Electronics,Cameras,Dell,28533.86,31777.04
PROD0020,Noise Smartwatches Trendy,Electronics,Smartwatches,Noise,16844.6,19554.72
PROD0021,Samsung Smartphone Max,Electronics,Smartphones,Samsung,39591.57,45895.56
PROD0022,HP Cameras Trendy,Electronics,Cameras,HP,32197.13,39252.75
PROD0023,JBL Headphones Neo,Electronics,Headphones,JBL,7654.03,8671.77
PROD0024,Noise Speakers Ultra,Electronics,Speakers,Noise,18966.77,21823.53
